Assects folder image name ,Cloudinary link 
404-service-not-found.png,https://res.cloudinary.com/dvywvz9xn/image/upload/v1782050499/404-service-not-found_ccvenk.png
Choose-Your-Service.png,https://res.cloudinary.com/dvywvz9xn/image/upload/v1782050531/Choose-Your-Service_iz1vh2.png
community.svg,https://res.cloudinary.com/dvywvz9xn/image/upload/v1782050643/community_vuwkxu.svg
Fast-Booking.svg,https://res.cloudinary.com/dvywvz9xn/image/upload/v1782050476/Fast-Booking_sqojnu.svg
Fast-Service-Allocation.svg,https://res.cloudinary.com/dvywvz9xn/image/upload/v1782050610/Fast-Service-Allocation_hnqvg1.svg
flasho-3d-F.png,https://res.cloudinary.com/dvywvz9xn/image/upload/v1782050460/flasho-3d-F_i3bu1j.png
get-it-on-google-play.png,https://res.cloudinary.com/dvywvz9xn/image/upload/v1782050483/get-it-on-google-play_nsgzux.png
no-admin-dashboard.png,https://res.cloudinary.com/dvywvz9xn/image/upload/v1782050566/no-admin-dashboard_hhldrh.png
Professional-Assigned.png,https://res.cloudinary.com/dvywvz9xn/image/upload/v1782050651/Professional-Assigned_sipk9i.png
Reliable-Customer-Support.svg,https://res.cloudinary.com/dvywvz9xn/image/upload/v1782050727/Reliable-Customer-Support_xwniyf.svg
Service-Delivered.png,https://res.cloudinary.com/dvywvz9xn/image/upload/v1782050630/Service-Delivered_cr3qqc.png
skill.svg,https://res.cloudinary.com/dvywvz9xn/image/upload/v1782050680/skill_hejnrq.svg
sustainable.svg,https://res.cloudinary.com/dvywvz9xn/image/upload/v1782050785/sustainable_hp4a1n.svg
Tech-Driven-Operations.svg,https://res.cloudinary.com/dvywvz9xn/image/upload/v1782050795/Tech-Driven-Operations_tshwdg.svg
Transparent Pricing.svg,https://res.cloudinary.com/dvywvz9xn/image/upload/v1782050777/Transparent-Pricing_ee9gdp.svg
Trusted-platform.svg,https://res.cloudinary.com/dvywvz9xn/image/upload/v1782050801/Trusted-platform_k736op.svg
Verified-Professionals.svg,https://res.cloudinary.com/dvywvz9xn/image/upload/v1782050778/Verified-Professionals_clnjpb.svg
Verified-Professionals-hero-icon.svg,https://res.cloudinary.com/dvywvz9xn/image/upload/v1782050786/Verified-Professionals-hero-icon_tqogbd.svg
We-Find-the-Best-Match.png,https://res.cloudinary.com/dvywvz9xn/image/upload/v1782050581/We-Find-the-Best-Match_ym2dpt.png
local.svg,https://res.cloudinary.com/dvywvz9xn/image/upload/v1782050591/local_dd5z2y.svg
